episode,stage,shaping_scale_current,agent_type,total_reward_env,total_reward_shaped,tripwires_triggered,resources_collected,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,epsilon,spawn_rate,seed,grid_size
39,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.012890066668776227,0.25,42,4
40,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.012508166339149949,0.25,42,4
41,,0.0,ControlS0,115.79,115.79,1,1,7,True,0,0,0.012076892854176676,0.25,42,4
42,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.011719084824134174,0.25,42,4
43,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01137187774815401,0.25,42,4
44,,0.0,ControlS0,117.99,117.99,1,3,6,True,0,0,0.011034957546568885,0.25,42,4
45,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01070801944510391,0.25,42,4
46,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01039076769918117,0.25,42,4
47,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.010082915326392463,0.25,42,4
48,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
49,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
50,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
51,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
52,,0.0,ControlS0,117.99,117.99,1,3,6,True,0,0,0.01,0.25,42,4
53,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
54,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
55,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
56,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
57,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
58,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
59,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
60,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
61,,0.0,ControlS0,115.79,115.79,1,1,8,True,0,0,0.01,0.25,42,4
62,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
63,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
64,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
65,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
66,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
67,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
68,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
69,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
70,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
71,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
72,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
73,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
74,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
75,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
76,,0.0,ControlS0,115.79,115.79,1,1,7,True,0,0,0.01,0.25,42,4
77,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
78,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
79,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
80,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
81,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
82,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
83,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
84,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
85,,0.0,ControlS0,114.78,114.78,2,0,7,True,0,0,0.01,0.25,42,4
86,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
87,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
88,,0.0,ControlS0,111.78999999999999,111.78999999999999,1,1,27,True,0,0,0.01,0.25,42,4
89,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
90,,0.0,ControlS0,21.98,21.98,1,1,30,False,0,0,0.01,0.25,42,4
91,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
92,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
93,,0.0,ControlS0,114.99,114.99,1,1,11,True,0,0,0.01,0.25,42,4
94,,0.0,ControlS0,112.98,112.98,1,2,26,True,0,0,0.01,0.25,42,4
95,,0.0,ControlS0,116.98,116.98,1,2,6,True,0,0,0.01,0.25,42,4
96,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
97,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
98,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
99,,0.0,ControlS0,115.98,115.98,1,1,6,True,0,0,0.01,0.25,42,4
100,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
101,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
102,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
103,,0.0,ControlS0,115.98,115.98,2,1,6,True,0,0,0.01,0.25,42,4
104,,0.0,ControlS0,115.98,115.98,1,1,6,True,0,0,0.01,0.25,42,4
105,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
106,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
107,,0.0,ControlS0,117.98,117.98,1,3,6,True,0,0,0.01,0.25,42,4
108,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
109,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
110,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
111,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
112,,0.0,ControlS0,117.99,117.99,1,3,6,True,0,0,0.01,0.25,42,4
113,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
114,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
115,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
116,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
117,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
118,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
119,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
120,,0.0,ControlS0,115.79,115.79,1,1,7,True,0,0,0.01,0.25,42,4
121,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
122,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
123,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
124,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
125,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
126,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
127,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
128,,0.0,ControlS0,114.98,114.98,1,0,6,True,0,0,0.01,0.25,42,4
129,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
130,,0.0,ControlS0,115.77,115.77,2,1,8,True,0,0,0.01,0.25,42,4
131,,0.0,ControlS0,118.99,118.99,1,4,6,True,0,0,0.01,0.25,42,4
132,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
133,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
134,,0.0,ControlS0,117.99,117.99,1,3,6,True,0,0,0.01,0.25,42,4
135,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
136,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
137,,0.0,ControlS0,117.99,117.99,1,3,6,True,0,0,0.01,0.25,42,4
138,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
139,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
140,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
141,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
142,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
143,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
144,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
145,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
146,,0.0,ControlS0,117.99,117.99,1,3,6,True,0,0,0.01,0.25,42,4
147,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
148,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
149,,0.0,ControlS0,115.77,115.77,2,1,8,True,0,0,0.01,0.25,42,4
150,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
151,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
152,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
153,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
154,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
155,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
156,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
157,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
158,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
159,,0.0,ControlS0,115.78,115.78,2,1,8,True,0,0,0.01,0.25,42,4
160,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
161,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
162,,0.0,ControlS0,115.79,115.79,1,1,7,True,0,0,0.01,0.25,42,4
163,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
164,,0.0,ControlS0,117.98,117.98,1,3,6,True,0,0,0.01,0.25,42,4
165,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
166,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
167,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
168,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
169,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
170,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
171,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
172,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
173,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
174,,0.0,ControlS0,111.99,111.99,1,1,26,True,0,0,0.01,0.25,42,4
175,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
176,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
177,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
178,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
179,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
180,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
181,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
182,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
183,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
184,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
185,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
186,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
187,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
188,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
189,,0.0,ControlS0,117.99,117.99,1,3,6,True,0,0,0.01,0.25,42,4
190,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
191,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
192,,0.0,ControlS0,118.99,118.99,1,4,6,True,0,0,0.01,0.25,42,4
193,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
194,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
195,,0.0,ControlS0,118.99,118.99,1,4,6,True,0,0,0.01,0.25,42,4
196,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
197,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
198,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
199,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
200,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
201,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
202,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
203,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
204,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
205,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
206,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
207,,0.0,ControlS0,117.99,117.99,1,3,6,True,0,0,0.01,0.25,42,4
208,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
209,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
210,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
211,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
212,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
213,,0.0,ControlS0,116.79,116.79,1,2,8,True,0,0,0.01,0.25,42,4
214,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
215,,0.0,ControlS0,115.78,115.78,2,1,7,True,0,0,0.01,0.25,42,4
216,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
217,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
218,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
219,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
220,,0.0,ControlS0,114.98,114.98,2,0,6,True,0,0,0.01,0.25,42,4
221,,0.0,ControlS0,114.98,114.98,2,0,6,True,0,0,0.01,0.25,42,4
222,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
223,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
224,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
225,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
226,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
227,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
228,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
229,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
230,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
231,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
232,,0.0,ControlS0,114.98,114.98,2,0,6,True,0,0,0.01,0.25,42,4
233,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
234,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
235,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
236,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
237,,0.0,ControlS0,115.98,115.98,2,1,6,True,0,0,0.01,0.25,42,4
238,,0.0,ControlS0,115.98,115.98,2,1,6,True,0,0,0.01,0.25,42,4
239,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
240,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
241,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
242,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
243,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
244,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
245,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
246,,0.0,ControlS0,114.98,114.98,2,0,6,True,0,0,0.01,0.25,42,4
247,,0.0,ControlS0,114.79,114.79,1,0,7,True,0,0,0.01,0.25,42,4
248,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
249,,0.0,ControlS0,117.99,117.99,1,3,6,True,0,0,0.01,0.25,42,4
250,,0.0,ControlS0,114.98,114.98,2,0,6,True,0,0,0.01,0.25,42,4
251,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
252,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
253,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
254,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
255,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
256,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
257,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
258,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
259,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
260,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
261,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
262,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
263,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
264,,0.0,ControlS0,116.79,116.79,1,2,7,True,0,0,0.01,0.25,42,4
265,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
266,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
267,,0.0,ControlS0,117.99,117.99,1,3,6,True,0,0,0.01,0.25,42,4
268,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
269,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
270,,0.0,ControlS0,118.99,118.99,1,4,6,True,0,0,0.01,0.25,42,4
271,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
272,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
273,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
274,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
275,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
276,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
277,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
278,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
279,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
280,,0.0,ControlS0,115.98,115.98,2,1,6,True,0,0,0.01,0.25,42,4
281,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
282,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
283,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
284,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
285,,0.0,ControlS0,114.98,114.98,2,0,6,True,0,0,0.01,0.25,42,4
286,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
287,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
288,,0.0,ControlS0,114.78,114.78,2,0,8,True,0,0,0.01,0.25,42,4
289,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
290,,0.0,ControlS0,114.98,114.98,2,0,6,True,0,0,0.01,0.25,42,4
291,,0.0,ControlS0,117.99,117.99,1,3,6,True,0,0,0.01,0.25,42,4
292,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
293,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
294,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
295,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
296,,0.0,ControlS0,116.99,116.99,1,2,6,True,0,0,0.01,0.25,42,4
297,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
298,,0.0,ControlS0,115.99,115.99,1,1,6,True,0,0,0.01,0.25,42,4
299,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
300,,0.0,ControlS0,114.99,114.99,1,0,6,True,0,0,0.01,0.25,42,4
